split,tag_type,baseline,rows,MAE,RMSE,sMAPE
test,cashtag,baseline_last_value,150,157.89333333333335,259.7501106833258,32.456932516893346
test,cashtag,baseline_lag_7,150,161.31333333333333,276.2817281930409,41.34618495112936
test,cashtag,baseline_rolling_mean_7,150,166.86190476190473,229.07746988930265,37.49215487059426
test,cashtag,baseline_rolling_mean_3,150,194.8022222222222,275.19686017804025,42.29276925446486
test,hashtag,baseline_last_value,150,106.50666666666666,260.4095492360703,28.40954043295432
test,hashtag,baseline_lag_7,150,118.15333333333334,291.9968835450132,32.131243437120766
test,hashtag,baseline_rolling_mean_7,150,133.04761904761904,278.8195090725464,33.226190993342186
test,hashtag,baseline_rolling_mean_3,150,151.52,312.67143090423804,39.90882102406197
validation,cashtag,baseline_last_value,165,176.6848484848485,310.1264551466356,45.37563335147562
validation,cashtag,baseline_rolling_mean_7,165,181.29783549783554,289.43037075888435,47.33397566805873
validation,cashtag,baseline_rolling_mean_3,165,213.6909090909091,316.24814128890443,55.85557385003997
validation,cashtag,baseline_lag_7,165,231.64242424242425,394.1892408168411,54.233569495974656
validation,hashtag,baseline_last_value,165,118.61212121212121,243.60786920662875,44.55290549921378
validation,hashtag,baseline_rolling_mean_7,165,119.17922077922077,221.10578623700238,43.648968259184514
validation,hashtag,baseline_lag_7,165,155.42424242424244,330.42799609909054,49.94440260452038
validation,hashtag,baseline_rolling_mean_3,165,157.22828282828286,274.8123351100156,55.61409553971512
