tag_type,tag,model,rows,MAE,RMSE,sMAPE
hashtag,#stocks,random_forest_pooled,10,594.8141146955526,700.3238821937582,29.82294488807462
cashtag,$AAPL,random_forest_pooled,10,291.13845649908734,344.19850504276997,30.179990617134468
cashtag,$SPX,random_forest_pooled,10,247.67030346752298,314.23501607543983,31.77041882992138
cashtag,$AMZN,random_forest_pooled,10,230.3467734272318,270.2688717973175,24.703731119977906
cashtag,$JPM,random_forest_pooled,10,194.85147622633647,275.49932147195005,51.57518532471325
hashtag,#stockmarket,random_forest_pooled,10,137.7966291572807,163.35530179308077,24.216953940690416
cashtag,$SPY,random_forest_pooled,10,126.98547406365307,159.32110757243015,18.95407234695877
cashtag,$TSLA,random_forest_pooled,10,125.66537065548455,189.16453107656324,21.747106433779997
cashtag,$DIS,random_forest_pooled,10,121.6148377772865,139.94187098568466,37.25707412005935
cashtag,$FB,random_forest_pooled,10,119.22443710129082,150.46153193899144,19.530050736267523
hashtag,#investing,random_forest_pooled,10,110.35345270438468,118.06735665724183,20.21617670599816
hashtag,#investment,random_forest_pooled,10,98.30832521727935,105.32546448620265,26.314380068748125
hashtag,#stock,random_forest_pooled,10,95.92527235291466,103.43092866858873,26.167580896753872
cashtag,$NFLX,random_forest_pooled,10,92.49567743169948,123.33643257649899,32.79877164402187
cashtag,$QQQ,random_forest_pooled,10,75.40250403036863,88.86981677266222,22.668403726504597
hashtag,#trading,random_forest_pooled,10,72.05914256918138,94.97033862770515,16.821695558506434
cashtag,$MSFT,random_forest_pooled,10,63.88175627891768,86.27303450053863,12.718082328558538
cashtag,$BAC,random_forest_pooled,10,62.74334157591968,91.67828560140369,37.79421902084297
hashtag,#options,random_forest_pooled,10,44.82880249237767,52.78220584124615,35.56341722924718
cashtag,$GOOG,random_forest_pooled,10,42.250135923708974,56.01799461253868,13.90741082787704
cashtag,$ES,random_forest_pooled,10,37.36019215231873,48.936629079679136,24.308317722035085
hashtag,#sp500,random_forest_pooled,10,35.982876584084245,47.12091031079954,34.093083503434435
hashtag,#markets,random_forest_pooled,10,33.65881371612132,42.97805305608007,26.810737081979976
hashtag,#forex,random_forest_pooled,10,27.01585705726065,34.26956619982134,18.134344801413885
cashtag,$GOOGL,random_forest_pooled,10,26.017847463514762,35.493098388502254,18.749803685070912
hashtag,#business,random_forest_pooled,10,22.545203009928173,27.790631180072683,15.349080908452752
hashtag,#money,random_forest_pooled,10,21.573644144742428,27.054590000771565,14.659500619706037
hashtag,#daytrading,random_forest_pooled,10,19.77375922670839,22.619133773958186,21.156153607532648
hashtag,#economy,random_forest_pooled,10,16.580070807091516,20.637003865911602,21.140520314573664
hashtag,#finance,random_forest_pooled,10,11.631294693852555,15.595850324438407,14.271918240036607
