split,tag_type,model,rows,MAE,RMSE,sMAPE
test,cashtag,random_forest_pooled,150,123.84323893828943,185.34660580753192,26.577509232248243
test,cashtag,hist_gradient_boosting_pooled,150,125.12379127485387,186.49372633991968,27.185487856789152
test,cashtag,ridge_regression_pooled,150,136.81522575184678,204.88170568833982,29.661836972183398
test,cashtag,linear_regression_pooled,150,137.59011894418447,210.94307971447495,31.014119620476528
test,cashtag,baseline_last_value,150,157.89333333333335,259.7501106833258,32.456932516893346
test,hashtag,random_forest_pooled,150,89.52315056191736,195.38031978008118,22.98256589100992
test,hashtag,hist_gradient_boosting_pooled,150,89.45941468906385,174.7811895888584,24.132355309098273
test,hashtag,ridge_regression_pooled,150,97.51211084263599,210.93165380770284,25.234538063579294
test,hashtag,linear_regression_pooled,150,103.9806189201627,205.28243689960595,27.4306431882848
test,hashtag,baseline_last_value,150,106.50666666666666,260.4095492360703,28.40954043295432
validation,cashtag,linear_regression_pooled,165,148.28281728651584,249.320612964929,41.390866462409285
validation,cashtag,hist_gradient_boosting_pooled,165,156.1169776713943,255.7720990380564,41.846789387940326
validation,cashtag,random_forest_pooled,165,158.97840432859945,257.2966159429582,42.63432152933167
validation,cashtag,ridge_regression_pooled,165,159.62444574911927,257.62150788480443,43.5580113540242
validation,cashtag,baseline_last_value,165,176.6848484848485,310.1264551466356,45.37563335147562
validation,hashtag,random_forest_pooled,165,90.39581426085418,195.28560740544214,33.420823682603505
validation,hashtag,hist_gradient_boosting_pooled,165,92.1539474982737,201.71483473394667,34.70614396265667
validation,hashtag,linear_regression_pooled,165,104.45686469614121,204.23584922801896,38.64920290508993
validation,hashtag,ridge_regression_pooled,165,101.61587692470826,189.37885931473213,39.33257433779329
validation,hashtag,baseline_last_value,165,118.61212121212121,243.60786920662875,44.55290549921378
