split,tag_type,model,rows,MAE,RMSE,sMAPE
test,cashtag,hist_gradient_boosting_pooled,150,124.76443347567407,181.7306964169721,27.231951354213646
test,cashtag,random_forest_pooled,150,125.91144261305507,187.26704385414692,27.233031407607964
test,cashtag,ridge_regression_pooled,150,140.3095028909562,206.73743023624672,31.1228400174885
test,cashtag,baseline_last_value,150,157.89333333333335,259.7501106833258,32.456932516893346
test,cashtag,linear_regression_pooled,150,140.09173265711166,213.39350160949525,32.94045181275414
test,hashtag,random_forest_pooled,150,90.70354595410618,199.39312490298286,22.87921260411102
test,hashtag,hist_gradient_boosting_pooled,150,87.28240731949512,172.54271744707728,23.62169551932337
test,hashtag,baseline_last_value,150,106.50666666666666,260.4095492360703,28.40954043295432
test,hashtag,ridge_regression_pooled,150,103.44456191275827,212.43173195256688,28.750765334375348
test,hashtag,linear_regression_pooled,150,107.41556718593901,204.71185140059575,31.09267871216175
validation,cashtag,hist_gradient_boosting_pooled,165,158.24412259949585,258.00919706089746,42.29140976844777
validation,cashtag,random_forest_pooled,165,169.5694217014455,273.34950838684847,43.80124955302228
validation,cashtag,linear_regression_pooled,165,155.16736437112968,251.19045663017712,44.77984936303403
validation,cashtag,baseline_last_value,165,176.6848484848485,310.1264551466356,45.37563335147562
validation,cashtag,ridge_regression_pooled,165,163.6451298566316,260.0707271945269,45.598777549949844
validation,hashtag,random_forest_pooled,165,92.72255861076148,196.49981865159643,34.469477471336404
validation,hashtag,hist_gradient_boosting_pooled,165,88.94348813129491,195.740011599068,34.47254114293265
validation,hashtag,linear_regression_pooled,165,108.27024877767649,206.55649697757124,42.333323664345166
validation,hashtag,ridge_regression_pooled,165,107.78245591836777,191.77853807259604,43.74894763017449
validation,hashtag,baseline_last_value,165,118.61212121212121,243.60786920662875,44.55290549921378
