split,model,rows,MAE,RMSE,sMAPE
validation,linear_regression_pooled,330,131.7188065744031,229.95894410277052,43.556586513689595
test,linear_regression_pooled,300,123.75364992152535,209.0977386690507,32.01656526245794
validation,ridge_regression_pooled,330,135.7137928874997,228.4904711456828,44.67386259006217
test,ridge_regression_pooled,300,121.87703240185724,209.6039190962972,29.936802675931922
validation,random_forest_pooled,330,131.14599015610347,238.04635311787703,39.13536351217934
test,random_forest_pooled,300,108.30749428358062,193.4251327677553,25.056122005859493
validation,hist_gradient_boosting_pooled,330,123.59380536539538,229.0009802476971,38.38197545569021
test,hist_gradient_boosting_pooled,300,106.02342039758459,177.1962688154291,25.426823436768505
test,baseline_last_value,300,132.2,260.0800389623676,30.433236474923834
validation,baseline_last_value,330,147.64848484848486,278.857680655574,44.9642694253447
