tag_type,tag,model,rows,MAE,RMSE,sMAPE
hashtag,#stocks,ray_train_mlp,10,463.39930419921876,591.1614096382835,22.099894005213226
cashtag,$AAPL,ray_train_mlp,10,256.983642578125,342.55978495911035,23.525150803865476
cashtag,$AMZN,ray_train_mlp,10,256.53392639160154,321.59269110485667,28.84980224987016
cashtag,$JPM,ray_train_mlp,10,205.63535766601564,288.11430849158324,63.46753189239517
cashtag,$SPX,ray_train_mlp,10,176.9463134765625,215.7192243543044,20.261180684037505
cashtag,$FB,ray_train_mlp,10,167.2969757080078,215.51658757408808,26.41155863344519
cashtag,$TSLA,ray_train_mlp,10,148.55599822998047,218.1791506042825,28.547761562378145
cashtag,$DIS,ray_train_mlp,10,138.05968322753907,165.92344859624052,42.45113599400821
cashtag,$NFLX,ray_train_mlp,10,128.81868591308594,150.28787278920305,52.75093650955655
cashtag,$SPY,ray_train_mlp,10,117.49219360351563,154.17269381428517,17.82795082565277
hashtag,#stockmarket,ray_train_mlp,10,113.33509521484375,130.1496132069614,16.928749213120714
hashtag,#investment,ray_train_mlp,10,100.59745025634766,135.15973739973597,24.90574032385539
hashtag,#investing,ray_train_mlp,10,100.427294921875,121.24143752829941,16.05331492687331
cashtag,$MSFT,ray_train_mlp,10,93.7490020751953,105.50576113699852,18.17017092974392
hashtag,#stock,ray_train_mlp,10,91.0204864501953,126.02556227902417,23.429874403743337
cashtag,$QQQ,ray_train_mlp,10,76.30609130859375,97.4858822943802,23.615718535939244
hashtag,#trading,ray_train_mlp,10,74.14632415771484,106.04536237558099,18.94900140331603
cashtag,$BAC,ray_train_mlp,10,74.0891098022461,99.00676261798445,45.964175020339766
cashtag,$GOOG,ray_train_mlp,10,68.94510345458984,83.20173617430613,27.26384881832098
hashtag,#options,ray_train_mlp,10,43.40258636474609,58.289591787884476,35.47853040107334
cashtag,$ES,ray_train_mlp,10,35.01681671142578,43.62485693845,23.219933288098062
hashtag,#sp500,ray_train_mlp,10,28.27196044921875,40.298627742205724,26.147522123254078
hashtag,#forex,ray_train_mlp,10,28.093492126464845,33.791303286544625,20.194298653080956
hashtag,#markets,ray_train_mlp,10,27.139442443847656,36.82984318875151,21.73950079922118
cashtag,$GOOGL,ray_train_mlp,10,26.377032470703124,38.31633126793916,18.7974898621382
hashtag,#money,ray_train_mlp,10,24.291317749023438,29.56818570338959,16.68928259853164
hashtag,#business,ray_train_mlp,10,23.258599853515626,28.711950603481608,17.338432875084035
hashtag,#economy,ray_train_mlp,10,17.137666320800783,19.884275212759203,20.47524464400234
hashtag,#daytrading,ray_train_mlp,10,15.893577575683594,18.12890442174976,16.879158115540925
hashtag,#finance,ray_train_mlp,10,12.051423645019531,14.83655442509363,13.57584835263267
