tag_type,tag,model,rows,MAE,RMSE,sMAPE
hashtag,#stocks,ray_train_mlp,10,601.1691284179688,762.6558103227892,29.469881662595675
cashtag,$AAPL,ray_train_mlp,10,288.1724609375,387.27261660430895,29.38994976861908
cashtag,$JPM,ray_train_mlp,10,241.9922622680664,318.1432440471409,76.30818353904343
cashtag,$AMZN,ray_train_mlp,10,219.06106872558593,272.4930997660267,23.187002506560283
cashtag,$SPX,ray_train_mlp,10,181.6913635253906,279.0927760999856,22.61328452642126
cashtag,$TSLA,ray_train_mlp,10,155.14540100097656,222.13384669801522,26.802613724224592
cashtag,$DIS,ray_train_mlp,10,134.16688690185546,166.09849207455176,45.8139216363819
hashtag,#stockmarket,ray_train_mlp,10,132.56749572753907,162.44998380679158,23.614553127796327
cashtag,$SPY,ray_train_mlp,10,130.95464782714845,174.37864238720744,19.61174901645017
hashtag,#investing,ray_train_mlp,10,117.9588409423828,149.99776174964043,22.467132246056632
cashtag,$NFLX,ray_train_mlp,10,116.0373779296875,137.56785562883653,43.0763916826906
cashtag,$FB,ray_train_mlp,10,114.16645812988281,150.48980365993125,20.26215916265823
hashtag,#investment,ray_train_mlp,10,107.41684112548828,126.45580795274718,29.97029348848161
hashtag,#stock,ray_train_mlp,10,98.66344909667968,121.93493173228761,28.634498220386472
cashtag,$MSFT,ray_train_mlp,10,90.4012939453125,117.68448733017097,18.992039182101298
cashtag,$GOOG,ray_train_mlp,10,82.076513671875,90.57646167254808,31.106158830474094
hashtag,#trading,ray_train_mlp,10,79.85648040771484,98.19535640724517,18.36770199750405
cashtag,$QQQ,ray_train_mlp,10,74.29127655029296,104.01600619386123,23.405282345698563
cashtag,$BAC,ray_train_mlp,10,70.0566619873047,90.09697995960805,41.83952121435235
hashtag,#options,ray_train_mlp,10,56.59036560058594,65.70513486826316,45.690570620732736
cashtag,$ES,ray_train_mlp,10,53.39145050048828,65.79238761906986,31.41231981785591
hashtag,#markets,ray_train_mlp,10,50.170903015136716,54.230491259837976,39.716883697805315
hashtag,#sp500,ray_train_mlp,10,35.86841888427735,55.10301241865345,33.110423268554015
cashtag,$GOOGL,ray_train_mlp,10,31.33953399658203,42.607519525037745,24.03507184895712
hashtag,#money,ray_train_mlp,10,31.29405822753906,35.43225526171706,21.61870447104156
hashtag,#business,ray_train_mlp,10,28.94385223388672,32.149459883971545,21.37610380831436
hashtag,#forex,ray_train_mlp,10,28.320840454101564,33.13864686636339,19.949176907412085
hashtag,#finance,ray_train_mlp,10,21.21519317626953,25.1199698199735,24.11700640125842
hashtag,#daytrading,ray_train_mlp,10,19.956144714355467,23.560485585952406,21.38381505717487
hashtag,#economy,ray_train_mlp,10,18.30559844970703,21.419614410466032,22.89415900204158
